BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,782742;1;2;2;blue
1;2;5,449306;1;3;3;blue
1;3;6,632755;1;1;1;blue
1;4;7,282688;1;4;4;blue
1;5;8,582687;1;3;3;blue
1;6;9,96608;1;1;1;blue
1;7;10,64926;1;2;2;blue
1;8;11,38277;1;4;4;blue
2;9;4,583218;0;3;2;green
2;10;5,450016;1;4;4;green
2;11;6,733158;1;2;2;green
2;12;7,883358;1;1;1;green
2;13;9,350094;1;3;3;green
2;14;10,19978;1;2;2;green
2;15;10,91652;1;4;4;green
2;16;11,43327;1;1;1;green
3;17;4,950111;1;2;2;blue
3;18;5,58326;1;3;3;blue
3;19;6,933189;1;1;1;blue
3;20;7,549896;1;4;4;blue
3;21;8,566422;1;3;3;blue
3;22;9,299843;1;1;1;blue
3;23;9,816742;1;2;2;blue
3;24;10,53341;1;4;4;blue
4;25;4,983337;1;2;2;blue
4;26;5,599861;1;3;3;blue
4;27;6,483124;1;1;1;blue
4;28;7,099701;1;4;4;blue
4;29;7,933113;1;3;3;blue
4;30;8,683167;1;1;1;blue
4;31;9,149666;1;2;2;blue
4;32;9,733147;1;4;4;blue
5;33;4,250084;1;2;2;blue
5;34;4,699867;1;3;3;blue
5;35;5,399727;1;1;1;blue
5;36;5,850082;1;4;4;blue
5;37;6,599968;1;3;3;blue
5;38;7,28315;1;1;1;blue
5;39;7,716583;1;2;2;blue
5;40;8,366394;1;4;4;blue
6;41;4,383415;1;3;3;green
6;42;5,033531;1;4;4;green
6;43;5,71685;1;2;2;green
6;44;6,300011;1;1;1;green
6;45;7,517212;1;3;3;green
6;46;8,433235;1;2;2;green
6;47;9,050041;1;4;4;green
6;48;9,350037;1;1;1;green
7;49;5,766907;1;3;3;green
7;50;6,450005;1;4;4;green
7;51;7,133759;1;2;2;green
7;52;7,600113;1;1;1;green
7;53;8,4832;1;3;3;green
7;54;9,183334;1;2;2;green
7;55;9,816673;1;4;4;green
7;56;10,1832;1;1;1;green
8;57;4,366547;1;2;2;blue
8;58;5,066483;1;3;3;blue
8;59;5,683327;1;1;1;blue
8;60;6,266731;1;4;4;blue
8;61;7,166527;1;3;3;blue
8;62;7,83329;1;1;1;blue
8;63;8,316643;1;2;2;blue
8;64;8,900017;1;4;4;blue
9;65;4,483337;1;2;2;blue
9;66;5,049942;1;3;3;blue
9;67;6,166473;1;1;1;blue
9;68;6,749939;1;4;4;blue
9;69;7,466736;1;3;3;blue
9;70;8,049957;1;1;1;blue
9;71;8,533508;1;2;2;blue
9;72;9,13324;1;4;4;blue
10;73;4,333221;1;3;3;green
10;74;4,883453;1;4;4;green
10;75;5,583496;1;2;2;green
10;76;6,017014;1;1;1;green
10;77;7,016876;1;3;3;green
10;78;7,749939;1;2;2;green
10;79;8,349869;1;4;4;green
10;80;8,700012;1;1;1;green
11;81;4,383484;1;4;4;yellow
11;82;5,083237;1;1;1;yellow
11;83;6,133087;1;3;3;yellow
11;84;6,683151;1;2;2;yellow
11;85;7,399872;1;4;4;yellow
11;86;8,38327;1;3;3;yellow
11;87;9,183258;1;1;1;yellow
11;88;9,716553;1;2;2;yellow
