BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,483084;1;4;4;yellow
1;2;5,033182;1;3;3;yellow
1;3;5,149778;0;1;4;yellow
1;4;5,732992;0;4;1;yellow
1;5;7,533411;1;3;3;yellow
1;6;8,732965;1;1;1;yellow
1;7;9,533266;1;4;4;yellow
1;8;10,41656;1;2;2;yellow
2;9;4,59988;1;4;4;yellow
2;10;5,08337;1;3;3;yellow
2;11;5,699806;1;1;1;yellow
2;12;6,31646;1;4;4;yellow
2;13;6,999859;1;3;3;yellow
2;14;7,583416;1;1;1;yellow
2;15;8,766445;1;4;4;yellow
2;16;9,733017;1;2;2;yellow
3;17;4,649929;1;2;2;blue
3;18;5,183586;1;3;3;blue
3;19;5,700027;1;1;1;blue
3;20;6,266701;1;4;4;blue
3;21;7,216675;1;3;3;blue
3;22;7,949902;1;1;1;blue
3;23;8,700249;1;2;2;blue
3;24;9,283337;1;4;4;blue
4;25;4,099979;1;3;3;green
4;26;4,533672;1;4;4;green
4;27;5,716808;1;2;2;green
4;28;6,416584;1;1;1;green
4;29;7,333439;1;3;3;green
4;30;8,183292;1;2;2;green
4;31;8,816799;1;4;4;green
4;32;9,499943;1;1;1;green
5;33;4,250084;1;2;2;blue
5;34;4,733475;1;3;3;blue
5;35;5,349854;1;1;1;blue
5;36;5,883453;1;4;4;blue
5;37;6,666588;1;3;3;blue
5;38;7,299942;1;1;1;blue
5;39;8,099876;1;2;2;blue
5;40;8,633423;1;4;4;blue
6;41;4,099869;1;3;3;green
6;42;4,516502;1;4;4;green
6;43;5,233353;1;2;2;green
6;44;5,483223;0;1;2;green
6;45;6,983322;1;3;3;green
6;46;8,149864;1;2;2;green
6;47;8,983253;1;4;4;green
6;48;9,633049;1;1;1;green
7;49;4,316864;1;2;2;blue
7;50;4,800285;1;3;3;blue
7;51;5,333443;1;1;1;blue
7;52;5,983406;1;4;4;blue
7;53;6,749992;1;3;3;blue
7;54;7,433502;1;1;1;blue
7;55;8,083519;1;2;2;blue
7;56;8,599915;1;4;4;blue
8;57;4,133621;1;2;2;blue
8;58;4,633331;1;3;3;blue
8;59;5,183456;1;1;1;blue
8;60;5,733459;1;4;4;blue
8;61;6,450096;1;3;3;blue
8;62;7,23336;1;1;1;blue
8;63;7,799988;1;2;2;blue
