BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,316269;1;1;1;yellow
1;2;4,349701;0;2;4;yellow
1;3;6,982994;1;4;4;yellow
1;4;8,266335;0;1;2;yellow
1;5;18,04939;1;3;3;yellow
1;6;19,24973;1;4;4;yellow
1;7;20,93277;1;2;2;yellow
1;8;22,69947;1;3;3;yellow
2;9;6,516708;0;2;3;yellow
2;10;10,65012;0;1;4;yellow
2;11;19,88331;1;3;3;yellow
2;12;20,69991;1;4;4;yellow
2;13;21,66673;1;2;2;yellow
2;14;22,95;1;4;4;yellow
2;15;24,79987;1;1;1;yellow
2;16;26,8997;0;2;3;yellow
3;17;10,45027;0;2;4;blue
3;18;12,35013;1;3;3;blue
3;19;16,20018;1;1;1;blue
3;20;17,34999;1;4;4;blue
3;21;18,73328;1;3;3;blue
3;22;19,90031;1;1;1;blue
3;23;21,13335;1;2;2;blue
3;24;22,78348;1;4;4;blue
4;25;9,133316;1;4;4;yellow
4;26;10,84984;1;3;3;yellow
4;27;11,64986;1;1;1;yellow
4;28;12,36646;1;4;4;yellow
4;29;13,9164;1;3;3;yellow
4;30;15,16632;1;1;1;yellow
4;31;16,63344;1;4;4;yellow
4;32;19,59964;0;2;3;yellow
5;33;6,350159;0;2;3;blue
5;34;8,883316;0;3;2;blue
5;35;12,46666;0;1;4;blue
5;36;24,53331;1;4;4;blue
5;37;25,78369;1;3;3;blue
5;38;27,03336;1;1;1;blue
5;39;28,51677;1;2;2;blue
5;40;29,63353;1;4;4;blue
6;41;5,083023;1;2;2;blue
6;42;5,949905;1;3;3;blue
6;43;7,366318;1;1;1;blue
6;44;8,182755;1;4;4;blue
6;45;9,599625;1;3;3;blue
6;46;11,14989;1;1;1;blue
6;47;12,33318;0;2;3;blue
6;48;14,94974;1;4;4;blue
7;49;6,633011;0;3;2;green
7;50;10,73312;1;4;4;green
7;51;12,7332;1;2;2;green
7;52;14,34972;1;1;1;green
7;53;15,38332;1;3;3;green
7;54;16,69962;1;2;2;green
7;55;17,81645;1;4;4;green
7;56;19,09978;1;1;1;green
8;57;6,299866;1;2;2;blue
8;58;7,349945;1;3;3;blue
8;59;8,183228;1;1;1;blue
8;60;8,816528;1;4;4;blue
8;61;10,39987;1;3;3;blue
8;62;11,93311;1;1;1;blue
8;63;13,06645;1;2;2;blue
8;64;14,53331;1;4;4;blue
9;65;5,099777;1;2;2;blue
9;66;6,666656;1;3;3;blue
9;67;7,416687;1;1;1;blue
9;68;8,450165;1;4;4;blue
9;69;9,783478;1;3;3;blue
9;70;11,58322;1;1;1;blue
9;71;12,58347;1;2;2;blue
9;72;13,48322;1;4;4;blue
10;73;5,000092;1;2;2;blue
10;74;6,38324;1;3;3;blue
10;75;7,666595;1;1;1;blue
10;76;8,849915;1;4;4;blue
10;77;10,31647;1;3;3;blue
10;78;11,26645;1;1;1;blue
10;79;13,11636;1;2;2;blue
10;80;13,99979;1;4;4;blue
11;81;4,866669;1;2;2;blue
11;82;6,000122;1;3;3;blue
11;83;6,700562;1;1;1;blue
11;84;7,650024;1;4;4;blue
11;85;8,699921;1;3;3;blue
11;86;9,650024;1;1;1;blue
11;87;11,53323;1;2;2;blue
11;88;12,25003;1;4;4;blue
12;89;4,499878;1;2;2;blue
12;90;5,249756;1;3;3;blue
12;91;6,049744;1;1;1;blue
12;92;6,699646;1;4;4;blue
12;93;9,799866;1;3;3;blue
12;94;11,18317;1;1;1;blue
12;95;12,2998;1;2;2;blue
12;96;12,99969;1;4;4;blue
13;97;5,41684;1;2;2;blue
13;98;6,350159;0;3;1;blue
13;99;8,38327;1;1;1;blue
13;100;9,533386;1;4;4;blue
13;101;10,88358;1;3;3;blue
13;102;12,0834;1;1;1;blue
13;103;13,08353;1;2;2;blue
13;104;13,9501;1;4;4;blue
14;105;4,899841;1;2;2;blue
14;106;6,166473;1;3;3;blue
14;107;6,949921;1;1;1;blue
14;108;7,649689;1;4;4;blue
14;109;9,983368;1;3;3;blue
14;110;10,84988;1;1;1;blue
14;111;11,71661;1;2;2;blue
14;112;12,33322;1;4;4;blue
15;113;5,116577;1;3;3;green
15;114;6,216553;1;4;4;green
15;115;7,38324;1;2;2;green
15;116;8,183197;1;1;1;green
15;117;9,249908;1;3;3;green
15;118;10,46646;0;2;3;green
15;119;12,26654;1;4;4;green
15;120;13,34995;1;1;1;green
16;121;6,183014;1;2;2;yellow
16;122;7,116577;1;1;1;yellow
16;123;7,733368;1;4;4;yellow
16;124;8,949707;1;1;1;yellow
16;125;10,09979;1;3;3;yellow
16;126;10,94974;1;2;2;yellow
16;127;11,73334;1;4;4;yellow
16;128;13,6333;1;3;3;yellow
17;129;4,416626;1;2;2;blue
17;130;5,599915;0;3;1;blue
17;131;7,249725;1;1;1;blue
17;132;8,866516;1;4;4;blue
17;133;9,616516;1;3;3;blue
17;134;10,74969;1;1;1;blue
17;135;11,79959;1;2;2;blue
17;136;12,71634;1;4;4;blue
18;137;5,583496;1;2;2;yellow
18;138;6,333405;0;3;1;yellow
18;139;7,899902;1;1;1;yellow
18;140;9,816803;1;4;4;yellow
18;141;10,61664;1;3;3;yellow
18;142;12,01685;1;1;1;yellow
18;143;12,88339;1;2;2;yellow
18;144;13,93341;1;4;4;yellow
19;145;5,166779;0;3;2;green
19;146;8,58313;1;4;4;green
19;147;9,799774;1;2;2;green
19;148;10,56647;1;1;1;green
19;149;11,54993;1;3;3;green
19;150;12,81656;1;2;2;green
19;151;13,51642;0;4;1;green
19;152;15,33322;1;1;1;green
20;153;4,58313;1;3;3;green
20;154;5,216522;1;4;4;green
20;155;6,449799;1;2;2;green
20;156;7,183472;1;1;1;green
20;157;8,483398;1;3;3;green
20;158;9,466431;1;2;2;green
20;159;10,23334;0;4;1;green
20;160;12,0665;1;1;1;green
21;161;4,783234;1;2;2;blue
21;162;5,549988;1;3;3;blue
21;163;6,483459;1;1;1;blue
21;164;6,966675;1;4;4;blue
21;165;7,149841;0;3;4;blue
21;166;9,233154;1;1;1;blue
21;167;10,93329;1;2;2;blue
21;168;11,78336;1;4;4;blue
22;169;4,049835;1;2;2;blue
22;170;5,516357;1;3;3;blue
22;171;7,783234;1;1;1;blue
22;172;8,833099;1;4;4;blue
22;173;9,73349;1;3;3;blue
22;174;11,46667;1;1;1;blue
22;175;12,24982;1;2;2;blue
22;176;14,81665;1;4;4;blue
23;177;5,082977;1;2;2;blue
23;178;6,499786;1;3;3;blue
23;179;7,349792;1;1;1;blue
23;180;8,11618;1;4;4;blue
23;181;9,133057;1;3;3;blue
23;182;10,13306;1;1;1;blue
23;183;10,99985;0;2;3;blue
23;184;13,64975;1;4;4;blue
24;185;5,533142;1;3;3;green
24;186;6,56662;1;4;4;green
24;187;7,533112;1;2;2;green
24;188;8,616516;1;1;1;green
24;189;9,783112;1;3;3;green
24;190;10,63324;1;2;2;green
24;191;12,19989;0;4;1;green
24;192;14,7999;1;1;1;green
25;193;5,983215;1;3;3;green
25;194;7,449799;1;4;4;green
25;195;8,599945;1;2;2;green
25;196;10,0498;0;1;3;green
25;197;12,81656;1;3;3;green
25;198;13,84979;1;2;2;green
25;199;15,04993;1;4;4;green
25;200;15,96664;1;1;1;green
26;201;4,283051;1;1;1;yellow
26;202;5,033203;1;2;2;yellow
26;203;6,08313;1;4;4;yellow
