BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,084724;1;4;4;yellow
1;2;4,616852;1;3;3;yellow
1;3;5,233154;1;1;1;yellow
1;4;5,699844;1;4;4;yellow
1;5;6,316498;1;3;3;yellow
1;6;7,016525;0;1;2;yellow
1;7;8,349831;1;4;4;yellow
1;8;8,999931;0;2;3;yellow
2;9;3,850113;1;4;4;yellow
2;10;4,399818;1;3;3;yellow
2;11;5,383293;1;1;1;yellow
2;12;5,999855;1;4;4;yellow
2;13;6,716537;1;3;3;yellow
2;14;7,283363;1;1;1;yellow
2;15;8,399742;0;4;3;yellow
2;16;9,216568;1;2;2;yellow
3;17;4,716888;1;2;2;blue
3;18;5,216988;1;3;3;blue
3;19;5,916687;1;1;1;blue
3;20;6,599823;1;4;4;blue
3;21;7,949875;1;3;3;blue
3;22;8,566612;1;1;1;blue
3;23;9,466644;1;2;2;blue
3;24;10,00005;1;4;4;blue
4;25;4,499947;1;3;3;green
4;26;4,983322;1;4;4;green
4;27;5,916374;1;2;2;green
4;28;6,583359;1;1;1;green
4;29;7,566521;1;3;3;green
4;30;8,300003;1;2;2;green
4;31;8,933075;1;4;4;green
4;32;9,449966;1;1;1;green
5;33;4,816376;1;2;2;blue
5;34;5,399712;1;3;3;blue
5;35;5,933205;1;1;1;blue
5;36;6,516518;1;4;4;blue
5;37;7,466545;1;3;3;blue
5;38;8,799774;1;1;1;blue
5;39;10,75004;1;2;2;blue
5;40;11,16727;1;4;4;blue
6;41;4,299072;1;3;3;green
6;42;4,799026;1;4;4;green
6;43;5,515846;1;2;2;green
6;44;6,000916;1;1;1;green
6;45;7,182907;1;3;3;green
6;46;7,882538;1;2;2;green
6;47;8,316002;1;4;4;green
6;48;8,699127;1;1;1;green
7;49;4,283272;1;2;2;blue
7;50;4,749947;1;3;3;blue
7;51;5,250053;1;1;1;blue
7;52;6,233322;1;4;4;blue
7;53;6,700172;1;3;3;blue
7;54;7,116623;1;1;1;blue
7;55;8,216644;1;2;2;blue
7;56;8,799927;0;4;3;blue
8;57;4,583595;1;2;2;blue
8;58;4,950035;1;3;3;blue
8;59;5,400063;1;1;1;blue
8;60;6,250175;1;4;4;blue
8;61;6,916817;1;3;3;blue
8;62;7,50135;1;1;1;blue
8;63;8,383278;1;2;2;blue
8;64;8,766869;1;4;4;blue
9;65;4,816528;1;2;2;blue
9;66;5,233154;1;3;3;blue
9;67;5,666748;1;1;1;blue
9;68;6,734665;1;4;4;blue
9;69;7,199692;1;3;3;blue
9;70;7,733398;1;1;1;blue
9;71;8,933029;1;2;2;blue
9;72;9,266174;1;4;4;blue
10;73;4,383469;1;2;2;blue
10;74;4,749954;1;3;3;blue
10;75;5,166794;1;1;1;blue
10;76;5,933609;1;4;4;blue
10;77;6,40007;1;3;3;blue
10;78;6,83345;1;1;1;blue
10;79;7,483902;1;2;2;blue
10;80;7,850418;1;4;4;blue
11;81;4,383026;1;2;2;blue
11;82;5,266479;1;3;3;blue
11;83;5,816422;1;1;1;blue
11;84;6,449707;1;4;4;blue
11;85;6,883011;1;3;3;blue
11;86;7,299545;1;1;1;blue
11;87;7,882889;1;2;2;blue
11;88;8,283661;1;4;4;blue
12;89;4,566025;1;2;2;blue
12;90;5,366333;1;3;3;blue
12;91;5,765839;1;1;1;blue
12;92;6,432861;1;4;4;blue
12;93;6,9328;1;3;3;blue
12;94;7,449417;1;1;1;blue
12;95;8,01593;1;2;2;blue
12;96;8,749252;1;4;4;blue
13;97;4,483459;1;2;2;blue
13;98;5,383453;1;3;3;blue
13;99;5,849976;1;1;1;blue
13;100;6,483932;1;4;4;blue
13;101;6,950073;1;3;3;blue
13;102;7,349899;1;1;1;blue
13;103;7,933487;1;2;2;blue
13;104;8,283478;1;4;4;blue
14;105;4,483139;1;3;3;green
14;106;4,866516;1;4;4;green
14;107;5,966812;1;2;2;green
14;108;6,533203;1;1;1;green
14;109;7,583328;1;3;3;green
14;110;8,08345;1;2;2;green
14;111;8,549957;1;4;4;green
14;112;8,899872;1;1;1;green
15;113;4,600082;1;2;2;yellow
15;114;5,049744;1;1;1;yellow
15;115;5,833221;1;4;4;yellow
15;116;6,299805;1;1;1;yellow
15;117;7,816528;1;3;3;yellow
15;118;8,766754;1;2;2;yellow
15;119;9,250061;1;4;4;yellow
15;120;10,29988;1;3;3;yellow
16;121;4,283356;1;2;2;blue
16;122;4,733414;1;3;3;blue
16;123;5,200287;1;1;1;blue
16;124;6,083359;1;4;4;blue
16;125;6,566757;1;3;3;blue
16;126;7,416718;1;1;1;blue
16;127;8,150406;1;2;2;blue
16;128;8,46666;1;4;4;blue
17;129;4,583344;1;2;2;yellow
17;130;5,183243;1;3;3;yellow
17;131;5,699936;1;1;1;yellow
17;132;6,250351;1;4;4;yellow
17;133;7,000275;1;3;3;yellow
17;134;7,36644;1;1;1;yellow
17;135;7,949997;1;2;2;yellow
17;136;8,266556;1;4;4;yellow
18;137;4,516571;1;3;3;green
18;138;5,500183;1;4;4;green
18;139;6,383499;1;2;2;green
18;140;6,749954;1;1;1;green
18;141;7,666626;1;3;3;green
18;142;8,167465;1;2;2;green
18;143;8,599991;1;4;4;green
18;144;8,916946;1;1;1;green
19;145;4,299957;1;3;3;green
19;146;4,716522;1;4;4;green
19;147;5,516479;1;2;2;green
19;148;6,149689;1;1;1;green
19;149;8,083282;1;3;3;green
19;150;8,832886;1;2;2;green
19;151;9,233109;1;4;4;green
19;152;9,599823;1;1;1;green
20;153;4,533325;1;2;2;blue
20;154;4,916428;1;3;3;blue
20;155;5,333344;1;1;1;blue
20;156;6,049988;1;4;4;blue
20;157;6,599945;1;3;3;blue
20;158;7,099792;1;1;1;blue
20;159;7,733353;1;2;2;blue
20;160;8,099976;1;4;4;blue
21;161;4,399918;1;2;2;blue
21;162;5,099854;1;3;3;blue
21;163;5,583282;1;1;1;blue
21;164;6,349823;1;4;4;blue
21;165;7,000046;1;3;3;blue
21;166;7,88324;1;1;1;blue
21;167;8,533157;1;2;2;blue
21;168;8,966492;1;4;4;blue
22;169;4,200043;1;2;2;blue
22;170;4,633301;1;3;3;blue
22;171;5,050003;1;1;1;blue
22;172;5,683258;1;4;4;blue
22;173;6,100037;1;3;3;blue
22;174;6,466583;1;1;1;blue
22;175;7,083435;1;2;2;blue
22;176;7,383301;1;4;4;blue
23;177;4,283234;1;3;3;green
23;178;4,88327;1;4;4;green
23;179;5,766449;1;2;2;green
23;180;6,216827;1;1;1;green
23;181;7,200073;1;3;3;green
23;182;7,599823;1;2;2;green
23;183;7,983185;1;4;4;green
23;184;8,316833;1;1;1;green
24;185;4,366272;1;3;3;green
24;186;4,71637;1;4;4;green
24;187;5,249786;1;2;2;green
24;188;5,833008;1;1;1;green
24;189;7,316528;1;3;3;green
24;190;7,966492;1;2;2;green
24;191;8,66629;1;4;4;green
24;192;8,966461;1;1;1;green
25;193;4,033295;1;1;1;yellow
25;194;4,549744;1;2;2;yellow
25;195;5,033142;1;4;4;yellow
25;196;5,650024;1;1;1;yellow
25;197;6,499908;1;3;3;yellow
25;198;6,966431;1;4;4;yellow
25;199;8,033356;1;2;2;yellow
25;200;8,499878;1;3;3;yellow
26;201;4,716553;1;3;3;green
26;202;5,050018;1;4;4;green
26;203;5,966583;1;2;2;green
26;204;6,483215;1;1;1;green
26;205;7,450073;1;3;3;green
26;206;7,983398;1;2;2;green
26;207;8,549927;1;4;4;green
26;208;8,916748;1;1;1;green
27;209;4,466705;1;3;3;green
27;210;4,733154;1;4;4;green
27;211;5,583252;1;2;2;green
27;212;5,966431;1;1;1;green
27;213;7,183228;1;3;3;green
27;214;7,633331;1;2;2;green
27;215;8,300262;1;4;4;green
27;216;8,566498;1;1;1;green
28;217;4,066711;1;1;1;yellow
28;218;4,833374;1;3;3;yellow
28;219;5,466553;1;4;4;yellow
28;220;6,216827;1;2;2;yellow
28;221;6,783203;1;4;4;yellow
28;222;7,466644;1;1;1;yellow
28;223;9,166718;1;3;3;yellow
28;224;9,583496;0;2;1;yellow
29;225;4,433319;1;2;2;blue
29;226;4,949768;1;3;3;blue
29;227;5,600006;1;1;1;blue
29;228;6,199677;1;4;4;blue
29;229;7,382996;1;3;3;blue
29;230;7,749847;0;1;2;blue
29;231;9,016327;1;2;2;blue
29;232;9,366394;1;4;4;blue
30;233;4,483307;1;2;2;blue
30;234;4,883453;1;3;3;blue
30;235;5,333282;1;1;1;blue
30;236;6,033417;1;4;4;blue
30;237;6,566711;1;3;3;blue
30;238;7,10022;1;1;1;blue
30;239;7,783356;1;2;2;blue
30;240;8,166504;1;4;4;blue
31;241;4,2836;1;2;2;blue
31;242;5,150116;1;3;3;blue
31;243;5,649994;1;1;1;blue
31;244;6,633331;1;4;4;blue
31;245;7,200012;1;3;3;blue
31;246;7,816895;1;1;1;blue
31;247;8,533661;1;2;2;blue
31;248;8,750153;1;4;4;blue
32;249;4,61676;1;2;2;blue
32;250;5,14978;1;3;3;blue
32;251;5,633423;1;1;1;blue
32;252;6,266693;1;4;4;blue
32;253;6,700104;1;3;3;blue
32;254;7,416504;1;1;1;blue
32;255;8,016693;1;2;2;blue
32;256;8,266632;1;4;4;blue
33;257;4,300018;1;2;2;blue
33;258;5,049988;1;3;3;blue
33;259;5,583191;1;1;1;blue
33;260;6,166504;1;4;4;blue
33;261;6,650024;1;3;3;blue
33;262;7,449799;1;1;1;blue
33;263;8,083344;1;2;2;blue
33;264;8,31665;1;4;4;blue
34;265;4,449982;1;3;3;green
34;266;4,949951;1;4;4;green
34;267;5,949951;1;2;2;green
34;268;6,399963;1;1;1;green
34;269;7,516815;1;3;3;green
34;270;8,133484;1;2;2;green
