BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,882942;0;4;1;yellow
1;2;3,932945;0;3;4;yellow
1;3;4,699608;1;1;1;yellow
1;4;5,94931;1;4;4;yellow
1;5;6,766113;1;3;3;yellow
1;6;8,449677;1;1;1;yellow
1;7;9,182648;1;4;4;yellow
1;8;9,582878;0;2;1;yellow
2;9;4,583138;0;4;1;yellow
2;10;5,266304;0;3;1;yellow
2;11;8,033577;1;1;1;yellow
2;12;9,166908;1;4;4;yellow
2;13;10,33311;1;3;3;yellow
2;14;11,54969;1;1;1;yellow
2;15;11,99957;0;4;1;yellow
2;16;12,91639;0;2;1;yellow
3;17;5,549713;1;2;2;blue
3;18;7,199982;1;3;3;blue
3;19;7,933487;1;1;1;blue
3;20;8,750183;1;4;4;blue
3;21;9,86702;1;3;3;blue
3;22;12,38326;0;1;3;blue
3;23;14,78293;0;2;1;blue
3;24;14,81683;0;4;2;blue
4;25;3,649902;0;3;1;green
4;26;8,066483;1;4;4;green
4;27;8,116119;0;2;1;green
4;28;10,21631;1;1;1;green
4;29;10,26614;0;3;4;green
4;30;10,51669;0;2;4;green
4;31;12,76628;1;4;4;green
4;32;14,3501;1;1;1;green
5;33;4,632767;1;2;2;blue
5;34;5,599564;1;3;3;blue
5;35;6,549591;1;1;1;blue
5;36;7,482788;1;4;4;blue
5;37;8,616119;1;3;3;blue
5;38;9,44931;0;1;2;blue
5;39;10,64961;1;2;2;blue
5;40;11,78294;1;4;4;blue
6;41;4,416321;1;3;3;green
6;42;5,083084;1;4;4;green
6;43;5,966522;1;2;2;green
6;44;6,766281;1;1;1;green
6;45;7,816711;1;3;3;green
6;46;8,74968;1;2;2;green
6;47;9,466492;1;4;4;green
6;48;10,39967;1;1;1;green
7;49;4,266724;1;2;2;blue
7;50;5,06694;1;3;3;blue
7;51;5,799881;1;1;1;blue
7;52;6,466537;1;4;4;blue
7;53;7,43338;1;3;3;blue
7;54;8,316772;1;1;1;blue
7;55;9,299805;1;2;2;blue
7;56;10;1;4;4;blue
8;57;4,350098;1;2;2;blue
8;58;5,050217;1;3;3;blue
8;59;5,86644;1;1;1;blue
8;60;6,566559;1;4;4;blue
8;61;7,650085;1;3;3;blue
8;62;8,666473;1;1;1;blue
8;63;9,349884;1;2;2;blue
8;64;10,05019;1;4;4;blue
9;65;4,266266;0;2;3;blue
9;66;4,600082;0;3;2;blue
9;67;5,799744;1;1;1;blue
9;68;6,483047;1;4;4;blue
9;69;7,516357;1;3;3;blue
9;70;8,299484;1;1;1;blue
9;71;8,999588;1;2;2;blue
9;72;9,799713;1;4;4;blue
10;73;4,318375;1;2;2;blue
10;74;5,216675;1;3;3;blue
10;75;5,949738;1;1;1;blue
10;76;6,666641;1;4;4;blue
10;77;7,816544;1;3;3;blue
10;78;8,799973;1;1;1;blue
10;79;9,883286;1;2;2;blue
10;80;10,53336;1;4;4;blue
11;81;4,399902;1;2;2;blue
11;82;5,216507;1;3;3;blue
11;83;6,166718;1;1;1;blue
11;84;6,883469;1;4;4;blue
11;85;7,799637;1;3;3;blue
11;86;8,699829;1;1;1;blue
11;87;9,316559;1;2;2;blue
11;88;10,21671;1;4;4;blue
12;89;4,683151;1;2;2;blue
12;90;5,649689;1;3;3;blue
12;91;6,699539;1;1;1;blue
12;92;7,38295;1;4;4;blue
12;93;8,499756;1;3;3;blue
12;94;9,233002;1;1;1;blue
12;95;9,899704;1;2;2;blue
12;96;10,66647;1;4;4;blue
13;97;4,216415;1;2;2;blue
13;98;4,983658;1;3;3;blue
13;99;5,599808;1;1;1;blue
13;100;6,383408;1;4;4;blue
13;101;7,299942;1;3;3;blue
13;102;8,349747;1;1;1;blue
13;103;9,933975;1;2;2;blue
13;104;12,19966;1;4;4;blue
14;105;4,316772;1;3;3;green
14;106;5,11676;1;4;4;green
14;107;6,016815;0;2;3;green
14;108;7,733398;1;1;1;green
14;109;9,483521;0;3;4;green
14;110;11,06708;1;2;2;green
14;111;11,85013;1;4;4;green
14;112;12,35016;1;1;1;green
15;113;4,999908;1;2;2;yellow
15;114;5,883209;1;1;1;yellow
15;115;6,616486;1;4;4;yellow
15;116;7,433197;1;1;1;yellow
15;117;8,683685;1;3;3;yellow
15;118;9,499695;1;2;2;yellow
15;119;10,70065;1;4;4;yellow
15;120;11,78345;1;3;3;yellow
16;121;4,466339;1;2;2;blue
16;122;5,349701;1;3;3;blue
16;123;6,116821;1;1;1;blue
16;124;6,749756;1;4;4;blue
16;125;8,116333;1;3;3;blue
16;126;9,232941;1;1;1;blue
16;127;9,966492;1;2;2;blue
16;128;10,76611;1;4;4;blue
17;129;4,417206;1;2;2;yellow
17;130;5,533417;1;3;3;yellow
17;131;6,316864;1;1;1;yellow
17;132;6,983276;1;4;4;yellow
17;133;7,900177;1;3;3;yellow
17;134;9,733307;1;1;1;yellow
17;135;10,66675;0;2;3;yellow
17;136;12,11673;1;4;4;yellow
18;137;5,733368;1;3;3;green
18;138;6,516632;1;4;4;green
18;139;7,283417;0;2;3;green
18;140;8,999969;1;1;1;green
18;141;10,61728;1;3;3;green
18;142;12,16681;1;2;2;green
18;143;13,73386;1;4;4;green
18;144;14,84985;1;1;1;green
19;145;4,835297;1;3;3;green
19;146;6,166901;1;4;4;green
19;147;7,43338;1;2;2;green
19;148;8,800232;0;1;4;green
19;149;10,58389;0;3;2;green
19;150;12,0336;1;2;2;green
19;151;12,83554;1;4;4;green
19;152;13,38409;1;1;1;green
20;153;4,349884;1;2;2;blue
20;154;5,366058;1;3;3;blue
20;155;6,682892;1;1;1;blue
