BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,199966;1;3;3;green
1;2;4,716171;1;4;4;green
1;3;5,200027;1;2;2;green
1;4;5,582928;1;1;1;green
1;5;6,032906;1;3;3;green
1;6;6,432957;1;2;2;green
1;7;6,699814;1;4;4;green
1;8;6,949615;1;1;1;green
2;9;3,883278;1;3;3;green
2;10;4,216808;1;4;4;green
2;11;4,817196;1;2;2;green
2;12;5,183746;1;1;1;green
2;13;5,600304;1;3;3;green
2;14;5,850288;1;2;2;green
2;15;6,166706;1;4;4;green
2;16;6,366745;1;1;1;green
3;17;3,983318;0;2;3;blue
3;18;4,466312;0;3;2;blue
3;19;5,366421;1;1;1;blue
3;20;5,900036;1;4;4;blue
3;21;6,266438;1;3;3;blue
3;22;6,749912;0;1;2;blue
3;23;8,233273;1;2;2;blue
3;24;8,633083;1;4;4;blue
4;25;4,133888;1;4;4;yellow
4;26;4,717567;1;1;1;yellow
4;27;5,28347;1;3;3;yellow
4;28;5,600441;1;2;2;yellow
4;29;6,333755;1;4;4;yellow
4;30;6,966774;1;3;3;yellow
4;31;7,483604;0;1;2;yellow
4;32;7,800247;0;2;1;yellow
5;33;4,166573;1;3;3;green
5;34;4,583313;1;4;4;green
5;35;4,983009;1;2;2;green
5;36;5,316513;1;1;1;green
5;37;5,716476;1;3;3;green
5;38;6,033165;1;2;2;green
5;39;6,349838;1;4;4;green
5;40;6,683121;1;1;1;green
6;41;3,96653;1;2;2;blue
6;42;4,333366;1;3;3;blue
6;43;4,649849;1;1;1;blue
6;44;4,966995;1;4;4;blue
6;45;5,466629;1;3;3;blue
6;46;5,799881;1;1;1;blue
6;47;6,216629;1;2;2;blue
6;48;6,466805;1;4;4;blue
7;49;3,933327;1;2;2;blue
7;50;4,266655;1;3;3;blue
7;51;4,582993;1;1;1;blue
7;52;4,916748;1;4;4;blue
7;53;5,266594;1;3;3;blue
7;54;5,649734;1;1;1;blue
7;55;5,966461;1;2;2;blue
7;56;6,249695;1;4;4;blue
8;57;4,000313;1;2;2;yellow
8;58;4,350189;1;1;1;yellow
8;59;4,733322;1;4;4;yellow
8;60;5,233711;1;1;1;yellow
8;61;5,766792;1;3;3;yellow
8;62;6,067123;1;2;2;yellow
8;63;6,416801;1;4;4;yellow
8;64;6,950432;1;3;3;yellow
9;65;3,982758;1;3;3;green
9;66;4,349998;1;4;4;green
9;67;4,766373;1;2;2;green
9;68;5,066277;1;1;1;green
9;69;5,499603;1;3;3;green
9;70;5,966431;1;2;2;green
9;71;6,299408;1;4;4;green
9;72;6,516479;1;1;1;green
10;73;3,916428;1;2;2;blue
10;74;4,249931;1;3;3;blue
10;75;4,533318;1;1;1;blue
10;76;4,900314;1;4;4;blue
10;77;5,266655;1;3;3;blue
10;78;5,616241;1;1;1;blue
10;79;5,916725;1;2;2;blue
10;80;6,183517;1;4;4;blue
11;81;3,982727;1;2;2;blue
11;82;4,316071;1;3;3;blue
11;83;4,616394;1;1;1;blue
11;84;4,966309;1;4;4;blue
11;85;5,266197;1;3;3;blue
11;86;5,616341;1;1;1;blue
11;87;5,916153;1;2;2;blue
11;88;6,166344;1;4;4;blue
12;89;4,083305;1;2;2;yellow
12;90;4,516685;1;3;3;yellow
12;91;4,866516;1;1;1;yellow
12;92;5,18325;1;4;4;yellow
12;93;5,716866;1;3;3;yellow
12;94;6,083;1;1;1;yellow
12;95;6,383171;1;2;2;yellow
12;96;6,59977;1;4;4;yellow
13;97;3,967224;1;2;2;blue
13;98;4,266754;1;3;3;blue
13;99;4,616745;1;1;1;blue
13;100;4,949829;1;4;4;blue
13;101;5,433334;1;3;3;blue
13;102;6,183304;1;1;1;blue
13;103;6,616837;1;2;2;blue
13;104;6,883606;1;4;4;blue
14;105;3,966537;1;2;2;blue
14;106;4,249847;1;3;3;blue
14;107;4,549957;1;1;1;blue
14;108;4,883041;1;4;4;blue
14;109;5,183136;1;3;3;blue
14;110;5,549957;1;1;1;blue
14;111;5,816254;1;2;2;blue
14;112;6,066193;1;4;4;blue
