BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,11618;1;2;2;blue
1;2;4,899559;1;3;3;blue
1;3;5,682968;1;1;1;blue
1;4;6,199409;1;4;4;blue
1;5;6,983261;1;3;3;blue
1;6;7,566109;1;1;1;blue
1;7;8,083122;1;2;2;blue
1;8;8,516464;1;4;4;blue
2;9;4,566643;1;2;2;yellow
2;10;5,182922;1;4;4;yellow
2;11;5,766319;1;1;1;yellow
2;12;6,500046;1;3;3;yellow
2;13;6,933762;1;4;4;yellow
2;14;7,600304;1;2;2;yellow
2;15;8,36628;1;3;3;yellow
2;16;8,816238;1;1;1;yellow
3;17;4,733185;1;1;1;yellow
3;18;5,950249;1;3;3;yellow
3;19;6,55024;1;4;4;yellow
3;20;7,334061;1;2;2;yellow
3;21;8,033455;1;4;4;yellow
3;22;8,850075;1;1;1;yellow
3;23;9,633507;1;3;3;yellow
3;24;10,31717;1;2;2;yellow
4;25;4,166695;1;4;4;yellow
4;26;4,899467;1;3;3;yellow
4;27;5,832825;1;1;1;yellow
4;28;6,916748;1;4;4;yellow
4;29;8,782776;0;3;1;yellow
4;30;10,7162;1;1;1;yellow
4;31;11,56703;1;4;4;yellow
4;32;12,29942;1;2;2;yellow
5;33;4,166817;1;2;2;blue
5;34;4,867249;1;3;3;blue
5;35;5,48391;1;1;1;blue
5;36;6,016563;1;4;4;blue
5;37;6,683357;1;3;3;blue
5;38;7,416603;1;1;1;blue
5;39;7,950073;1;2;2;blue
5;40;8,500214;1;4;4;blue
6;41;4,399849;1;2;2;yellow
6;42;5,216202;1;1;1;yellow
6;43;5,783684;1;4;4;yellow
6;44;6,450401;1;1;1;yellow
6;45;7,31649;0;3;4;yellow
6;46;8,867851;1;2;2;yellow
6;47;10,31651;1;4;4;yellow
6;48;11,39995;1;3;3;yellow
7;49;4,533447;1;2;2;blue
7;50;5,417114;1;3;3;blue
7;51;6,116394;1;1;1;blue
7;52;6,7668;1;4;4;blue
7;53;7,48317;1;3;3;blue
7;54;8,266449;1;1;1;blue
7;55;9,083282;1;2;2;blue
7;56;9,716354;1;4;4;blue
8;57;4,13327;1;2;2;blue
8;58;4,983566;1;3;3;blue
8;59;5,666824;1;1;1;blue
8;60;6,31665;1;4;4;blue
8;61;7,16658;1;3;3;blue
8;62;7,917267;1;1;1;blue
8;63;8,633484;1;2;2;blue
8;64;9,417511;1;4;4;blue
9;65;5,815765;1;3;3;green
9;66;6,632874;1;4;4;green
9;67;7,399704;1;2;2;green
9;68;8,199387;1;1;1;green
9;69;9,099365;1;3;3;green
9;70;9,79921;1;2;2;green
9;71;11,04904;1;4;4;green
9;72;11,59915;1;1;1;green
10;73;4,317139;1;2;2;blue
10;74;5,133286;1;3;3;blue
10;75;5,916809;1;1;1;blue
10;76;6,666519;1;4;4;blue
10;77;7,616638;0;3;1;blue
10;78;8,583206;0;1;2;blue
10;79;10,01698;1;2;2;blue
10;80;10,91681;1;4;4;blue
11;81;4,149765;1;2;2;blue
11;82;4,833618;1;3;3;blue
11;83;5,483215;1;1;1;blue
