BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,366562;1;1;1;yellow
1;2;4,916157;1;2;2;yellow
1;3;5,466038;1;4;4;yellow
1;4;6,44936;1;1;1;yellow
1;5;7,632854;1;3;3;yellow
1;6;8,44978;1;4;4;yellow
1;7;9,332951;1;2;2;yellow
1;8;10,04958;1;3;3;yellow
2;9;5,300171;1;2;2;yellow
2;10;6,116768;1;1;1;yellow
2;11;6,93322;1;3;3;yellow
2;12;7,699905;1;4;4;yellow
2;13;8,817429;1;2;2;yellow
2;14;9,700058;1;4;4;yellow
2;15;10,70004;1;1;1;yellow
2;16;11,41654;1;2;2;yellow
3;17;4,299881;1;2;2;blue
3;18;5,000671;1;3;3;blue
3;19;5,649933;1;1;1;blue
3;20;6,233429;1;4;4;blue
3;21;7,533264;1;3;3;blue
3;22;8,783463;1;1;1;blue
3;23;9,433289;1;2;2;blue
3;24;10,00026;1;4;4;blue
4;25;5,033081;1;4;4;yellow
4;26;5,716484;1;3;3;yellow
4;27;6,366425;1;1;1;yellow
4;28;7,083115;1;4;4;yellow
4;29;7,799789;1;3;3;yellow
4;30;8,649895;1;1;1;yellow
4;31;9,616112;1;4;4;yellow
4;32;10,78342;1;2;2;yellow
5;33;4,449554;1;2;2;blue
5;34;5,100288;1;3;3;blue
5;35;5,749611;1;1;1;blue
5;36;6,766129;1;4;4;blue
5;37;7,682976;1;3;3;blue
5;38;8,516068;1;1;1;blue
5;39;9,033127;1;2;2;blue
5;40;9,549744;1;4;4;blue
6;41;4,683052;1;2;2;blue
6;42;5,299843;1;3;3;blue
6;43;5,849876;1;1;1;blue
6;44;6,466637;1;4;4;blue
6;45;7,349731;1;3;3;blue
6;46;8,049828;1;1;1;blue
6;47;8,683121;1;2;2;blue
6;48;9,23307;1;4;4;blue
7;49;6,383667;1;3;3;green
7;50;7,033386;1;4;4;green
7;51;7,699951;1;2;2;green
7;52;8,300224;1;1;1;green
7;53;9,383453;1;3;3;green
7;54;10,23328;1;2;2;green
7;55;10,88382;1;4;4;green
7;56;11,38396;1;1;1;green
8;57;5,633034;1;2;2;blue
8;58;6,299721;1;3;3;blue
