block_number,window_index,window_start_block,window_end_block,window_center_block,n_chunks,chunk_boundaries,source_file,sequence_type,method,participant_id,session,day_index
22,2,22,51,36,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
29,2,22,51,36,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
31,2,22,51,36,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
32,2,22,51,36,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
33,2,22,51,36,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
35,2,22,51,36,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
37,2,22,51,36,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
43,3,32,61,46,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
44,3,32,61,46,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
45,3,32,61,46,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
47,3,32,61,46,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
54,4,42,71,56,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
58,4,42,71,56,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
60,4,42,71,56,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
64,4,42,71,56,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
69,4,42,71,56,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
70,4,42,71,56,1,[],SRT/GR_30_Hr_30_20250522_FRA_2_fertig.csv,blue,change_point_pelt,GR_30_Hr_30,FRA_2,2
