block_number,n_chunks,chunk_boundaries,surprisal_profile,source_file,sequence_type,method,participant_id,session,day_index
18,2,[6],"[2.565790828393447, 3.872427769974555, 4.758197688106374, 2.013062659742851, 0.46553796436844286, 5.540318685165354, 4.115140706763562]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
34,3,"[4, 6]","[1.2595292510778267, 0.10149821814086589, 1.082438003003734, 4.504622193545378, 0.758185055423985, 6.650081728647068, 1.2580141657774755]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
42,2,[6],"[0.5333049024855194, 0.6943465741515992, 0.643633289889898, 1.0219638099584474, 0.2598515852940568, 1.9824963702165264, 0.5755162436131792]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
84,2,[6],"[0.4239061186825567, 0.4675229566056913, 0.8434225107323747, 0.5721713216326298, 0.13834410852341644, 1.5015894091430406, 0.3488281205752655]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
86,2,[6],"[0.3470253964701326, 0.34653876301352093, 0.9270562632146142, 0.3882635264758661, 0.09393272762834574, 1.361410994617197, 0.26456209963696636]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
98,3,"[3, 6]","[0.34654114283925747, 0.2730419524843568, 0.9566492372469108, 0.28264200952731816, 0.06732742000375799, 1.2781462752835449, 0.21389713752870138]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
180,3,"[3, 6]","[0.2995251666756552, 0.21543757330422406, 0.9707877519532787, 0.21962731696983814, 0.059779600759559584, 1.235022557682032, 0.1895913108689916]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
184,3,"[3, 6]","[0.3135032097430842, 0.17763896671533505, 0.9881659677068317, 0.1806035716761164, 0.05139911186932237, 1.1956697623497323, 0.16817331535758773]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
197,3,"[3, 6]","[0.2810243897559352, 0.14615035345705032, 1.0018509641696494, 0.15022580013849016, 0.04216361557666505, 1.169728070255428, 0.15741920149292743]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
205,3,"[3, 6]","[0.2998910507014374, 0.1252154265288882, 1.0026366911464324, 0.1278162275832238, 0.040540758428994045, 1.1543668590000136, 0.14541619100784603]",SRT/GR_09_Hr_09_20250309_FRA_1_fertig.csv,blue,hcrp_lm,GR_09_Hr_09,FRA_1,1
